name,city,district,address,phone,type,target_need
Chill 'n Feel Coffee,Hà Nội,Cầu Giấy,50 Trương Công Giai,0848889292,Quán Cafe / Trà,Nguyên liệu pha chế / Bao bì / Web Menu
ULA Cafe & Fast Food 24/7,Hà Nội,Cầu Giấy,81 Nguyễn Khang,0865163588,Cafe & Ăn Vặt 24/7,Thực phẩm đông lạnh / Phần mềm POS
Nuwa Coffee,Hà Nội,Cầu Giấy,A10-CT1 KĐT Nam Trung Yên,0978613983,Quán Cafe,Hạt cà phê rang xay / Sữa hạt
PINK Cafe,Hà Nội,Cầu Giấy,Tầng 8-9 số 37 Nguyễn Văn Huyên,0912345678,Rooftop Cafe,Bao bì thương hiệu / Marketing
The Valhalla Coffee,Hà Nội,Cầu Giấy,79 Ngõ 260 Cầu Giấy,0982233445,Cafe & Boardgame,Trà sữa / Siro hoa quả
Tiệm cafe Mùa Thu,Hà Nội,Cầu Giấy,14 ngách 105/33 Doãn Kế Thiện,0934567890,Quán Cafe Vintage,Bánh ngọt / Cà phê phin
Jidai Coffee,Hà Nội,Cầu Giấy,20 ngõ 165 Cầu Giấy,0967891234,Cafe Phong Cách Nhật,Matcha Uji / Trà Nhật
Cafe Phố Cổ,Hà Nội,Hoàn Kiếm,11 Hàng Gai,02439288153,Cafe Truyền Thống,Trứng gà tươi / Cà phê Robusta
Loading T Cafe,Hà Nội,Hoàn Kiếm,8 Chân Cầm,0904123456,Cafe Biệt Thự Cổ,Trà thảo mộc / Bánh thủ công
Tranquil Books & Coffee,Hà Nội,Hoàn Kiếm,5 Nguyễn Quang Bích,0976543210,Cafe Sách Yên Tĩnh,Cold brew / Thiết bị lọc nước
Coming Home Cafe,TP.HCM,Quận 1,"Lầu 1, 158/17 Nguyễn Công Trứ",0981789607,Cafe Hidden,Cà phê specialty / Sữa tươi thanh trùng
Trulli Café,TP.HCM,Quận 3,24-26 Phạm Ngọc Thạch,0908356669,Cafe Ý & Bánh,Hạt Arabica nhập khẩu / Bơ sữa
Bean There Cafe,TP.HCM,Quận 1,"3/5 Hoàng Sa, Đa Kao",0901234567,Cafe Không Gian Mở,Dịch vụ in ấn ly cốc / Syrup
Cheese Coffee,TP.HCM,Quận 1,"15 Pasteur, P. Nguyễn Thái Bình",02838218153,Chuỗi Cafe Hiện Đại,Bao bì sinh học / Máy pha espresso
Leiden Café,TP.HCM,Quận 1,138/13 Bùi Thị Xuân,0918765432,Cafe & Trà Hoa,Hoa khô / Thảo dược ngâm
Sori Cafe & More,TP.HCM,Quận 3,"20 Tú Xương, Võ Thị Sáu",0933112233,Cafe Biệt Thự Sang Trọng,Rượu vang nhẹ / Bánh finger food
Mỗi Ngày Cà Phê,TP.HCM,Quận 3,16/49 Nguyễn Thiện Thuật,0944556677,Cafe Vỉa Hè Mộc,Cà phê mộc / Đá viên tinh khiết
Suối Đá Cafe,TP.HCM,Quận 3,175 Nam Kỳ Khởi Nghĩa,02839338899,Cafe Sân Vườn,Cây xanh trang trí / Hệ thống phun sương
Sena Garden Coffee,TP.HCM,Quận 3,"Tầng 9, 2/42 Cao Thắng",0798393933,Rooftop Coffee,Âm thanh ánh sáng / Sự kiện acoustic
